Index Name,Date,Open,High,Low,Close,Data_source,Published_date,Updated_date
NIFTY SME EMERGE,06-Feb-20,NA,NA,NA,1338.87,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,05-Feb-20,NA,NA,NA,1341.44,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Feb-20,NA,NA,NA,1339.61,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Feb-20,NA,NA,NA,1342.97,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,01-Feb-20,NA,NA,NA,1340.75,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,31-Jan-20,NA,NA,NA,1344.34,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,30-Jan-20,NA,NA,NA,1347.22,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,29-Jan-20,NA,NA,NA,1354.33,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,28-Jan-20,NA,NA,NA,1349.78,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Jan-20,NA,NA,NA,1352.77,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Jan-20,NA,NA,NA,1347.36,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,23-Jan-20,NA,NA,NA,1343.31,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,22-Jan-20,NA,NA,NA,1342.05,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,21-Jan-20,NA,NA,NA,1339.38,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-Jan-20,NA,NA,NA,1348.1,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-Jan-20,NA,NA,NA,1347.55,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,16-Jan-20,NA,NA,NA,1335.41,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,15-Jan-20,NA,NA,NA,1331.45,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,14-Jan-20,NA,NA,NA,1328.72,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-Jan-20,NA,NA,NA,1323.5,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,10-Jan-20,NA,NA,NA,1328.05,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-Jan-20,NA,NA,NA,1321.42,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,08-Jan-20,NA,NA,NA,1321.08,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,07-Jan-20,NA,NA,NA,1322.27,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,06-Jan-20,NA,NA,NA,1325.17,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Jan-20,NA,NA,NA,1331.15,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,02-Jan-20,NA,NA,NA,1332.74,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,01-Jan-20,NA,NA,NA,1340.49,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,31-Dec-19,NA,NA,NA,1345.7,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,30-Dec-19,NA,NA,NA,1339.51,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Dec-19,NA,NA,NA,1334.12,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Dec-19,NA,NA,NA,1329.17,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Dec-19,NA,NA,NA,1322.27,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,23-Dec-19,NA,NA,NA,1322.37,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-Dec-19,NA,NA,NA,1327.27,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,19-Dec-19,NA,NA,NA,1325.58,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Dec-19,NA,NA,NA,1311.3,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-Dec-19,NA,NA,NA,1320.52,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,16-Dec-19,NA,NA,NA,1328.67,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-Dec-19,NA,NA,NA,1333.34,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,12-Dec-19,NA,NA,NA,1324.95,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Dec-19,NA,NA,NA,1318.61,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,10-Dec-19,NA,NA,NA,1320.18,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-Dec-19,NA,NA,NA,1322.25,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,06-Dec-19,NA,NA,NA,1322.63,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,05-Dec-19,NA,NA,NA,1322.54,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Dec-19,NA,NA,NA,1327.41,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Dec-19,NA,NA,NA,1335.81,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,02-Dec-19,NA,NA,NA,1337.26,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,29-Nov-19,NA,NA,NA,1333.26,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,28-Nov-19,NA,NA,NA,1338.58,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Nov-19,NA,NA,NA,1342.93,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Nov-19,NA,NA,NA,1350.6,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,25-Nov-19,NA,NA,NA,1357.79,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,22-Nov-19,NA,NA,NA,1363.41,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,21-Nov-19,NA,NA,NA,1362.71,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-Nov-19,NA,NA,NA,1362.21,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,19-Nov-19,NA,NA,NA,1367.22,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Nov-19,NA,NA,NA,1364.23,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,15-Nov-19,NA,NA,NA,1361.67,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,14-Nov-19,NA,NA,NA,1362.03,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-Nov-19,NA,NA,NA,1365.8,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Nov-19,NA,NA,NA,1366.65,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,08-Nov-19,NA,NA,NA,1373.22,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,07-Nov-19,NA,NA,NA,1375.68,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,06-Nov-19,NA,NA,NA,1377.46,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,05-Nov-19,NA,NA,NA,1381.57,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Nov-19,NA,NA,NA,1373.48,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,01-Nov-19,NA,NA,NA,1371.71,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,31-Oct-19,NA,NA,NA,1370.76,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,30-Oct-19,NA,NA,NA,1368.88,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,29-Oct-19,NA,NA,NA,1368.72,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Oct-19,NA,NA,NA,1362.6,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,25-Oct-19,NA,NA,NA,1354.15,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Oct-19,NA,NA,NA,1348.65,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,23-Oct-19,NA,NA,NA,1350.39,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,22-Oct-19,NA,NA,NA,1345.24,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Oct-19,NA,NA,NA,1336.68,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-Oct-19,NA,NA,NA,1337.31,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,16-Oct-19,NA,NA,NA,1331.52,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,15-Oct-19,NA,NA,NA,1344.82,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,14-Oct-19,NA,NA,NA,1345.9,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Oct-19,NA,NA,NA,1343.89,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,10-Oct-19,NA,NA,NA,1341.5,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-Oct-19,NA,NA,NA,1341.16,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,07-Oct-19,NA,NA,NA,1344.73,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Oct-19,NA,NA,NA,1349.39,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Oct-19,NA,NA,NA,1352.44,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,01-Oct-19,NA,NA,NA,1358.53,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,30-Sep-19,NA,NA,NA,1362.95,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Sep-19,NA,NA,NA,1357.7,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Sep-19,NA,NA,NA,1369.23,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,25-Sep-19,NA,NA,NA,1358.01,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Sep-19,NA,NA,NA,1367.59,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,23-Sep-19,NA,NA,NA,1366.5,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-Sep-19,NA,NA,NA,1358.91,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,19-Sep-19,NA,NA,NA,1344.48,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Sep-19,NA,NA,NA,1350.81,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-Sep-19,NA,NA,NA,1353.25,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,16-Sep-19,NA,NA,NA,1353.26,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-Sep-19,NA,NA,NA,1344.7,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,12-Sep-19,NA,NA,NA,1339.43,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Sep-19,NA,NA,NA,1339.41,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-Sep-19,NA,NA,NA,1333.48,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,06-Sep-19,NA,NA,NA,1327.34,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,05-Sep-19,NA,NA,NA,1329.73,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Sep-19,NA,NA,NA,1334.49,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Sep-19,NA,NA,NA,1336.62,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,30-Aug-19,NA,NA,NA,1346.97,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,29-Aug-19,NA,NA,NA,1339.51,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,28-Aug-19,NA,NA,NA,1351.25,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Aug-19,NA,NA,NA,1359.77,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Aug-19,NA,NA,NA,1353.72,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,23-Aug-19,NA,NA,NA,1357.63,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,22-Aug-19,NA,NA,NA,1358.19,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,21-Aug-19,NA,NA,NA,1356.25,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-Aug-19,NA,NA,NA,1364.94,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,19-Aug-19,NA,NA,NA,1365.01,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,16-Aug-19,NA,NA,NA,1369.62,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,14-Aug-19,NA,NA,NA,1372.08,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-Aug-19,NA,NA,NA,1364.21,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-Aug-19,NA,NA,NA,1365.24,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,08-Aug-19,NA,NA,NA,1361.63,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,07-Aug-19,NA,NA,NA,1357.07,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,06-Aug-19,NA,NA,NA,1359.49,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,05-Aug-19,NA,NA,NA,1351.49,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,02-Aug-19,NA,NA,NA,1372.65,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,01-Aug-19,NA,NA,NA,1374.97,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,31-Jul-19,NA,NA,NA,1389.43,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,30-Jul-19,NA,NA,NA,1406.77,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,29-Jul-19,NA,NA,NA,1425.31,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Jul-19,NA,NA,NA,1423.39,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,25-Jul-19,NA,NA,NA,1425.33,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Jul-19,NA,NA,NA,1418.58,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,23-Jul-19,NA,NA,NA,1427.57,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,22-Jul-19,NA,NA,NA,1425.58,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,19-Jul-19,NA,NA,NA,1420.2,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Jul-19,NA,NA,NA,1434.78,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-Jul-19,NA,NA,NA,1446.61,NSE Indices,2016-2025,19-04-2025
